County,State,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind
Coke,TX,629,68,102,197,162,-2222,1,1,1
Coleman,TX,1728,204,232,472,355,-2222,1,1,1
Collin,TX,34653,15186,11713,33815,27037,379019,2,1,1
Collingsworth,TX,557,74,95,157,127,-2222,1,1,1
Colorado,TX,4147,447,464,1106,917,7257,1,1,1
Comal,TX,10306,1986,2480,5177,4117,65505,1,1,1
Comanche,TX,2732,302,378,736,579,0,1,1,1
Concho,TX,1117,84,135,225,173,-2222,1,1,1
Cooke,TX,5176,810,1081,2035,1690,37799,1,1,1
Coryell,TX,8363,1630,1287,3914,3733,-2222,1,1,1
Cottle,TX,419,47,53,96,70,-2222,1,1,1
Crane,TX,723,86,134,192,168,-2222,1,1,1
Crockett,TX,964,82,82,208,171,-2222,1,1,1
Crosby,TX,1557,166,219,333,281,-2222,1,1,1
Culberson,TX,688,74,90,131,115,-2222,1,1,1
Dallam,TX,1310,114,112,304,258,-2222,1,1,1
Dallas,TX,358739,67505,45683,116280,95238,1559417,2,1,1
Dawson,TX,3224,373,521,759,619,-2222,1,1,1
"Deaf Smith",TX,4153,414,377,883,788,1066,1,1,1
Delta,TX,892,142,154,296,237,-2222,1,1,1
Denton,TX,36451,13174,13684,28552,24344,413256,2,1,1
DeWitt,TX,4563,422,666,1128,854,-2222,1,1,1
Dickens,TX,545,57,76,154,122,-2222,1,1,1
Dimmit,TX,2737,320,321,505,458,-2222,1,1,1
Donley,TX,560,80,119,212,179,-2222,1,1,1
Duval,TX,3118,337,542,645,557,-2222,1,1,1
Eastland,TX,3306,418,586,993,812,16919,1,1,1
Ector,TX,23929,2926,2898,6206,5410,707800,1,1,1
Edwards,TX,410,45,73,103,90,-2222,1,1,1
Ellis,TX,18291,3339,2879,6831,5885,2235859,2,1,1
"El Paso",TX,141032,20827,26564,34838,31459,1824628,2,2,1
Erath,TX,4613,685,964,1804,1715,53012,1,1,1
Falls,TX,3805,462,434,925,790,-2222,1,1,1
Fannin,TX,6200,849,926,1824,1436,605,1,1,1
Fayette,TX,4512,438,535,1241,931,947806,1,1,1
Fisher,TX,762,86,90,227,172,26,1,1,1
Floyd,TX,1608,200,330,359,302,-2222,1,1,1
Foard,TX,309,33,44,81,63,-2222,1,1,1
"Fort Bend",TX,45055,10887,9345,23760,20541,3651286,1,1,1
Franklin,TX,1583,237,222,562,435,-2222,1,1,1
Freestone,TX,2951,413,537,1030,819,2601062,1,1,1
Frio,TX,4238,403,356,841,733,-2222,1,1,1
Gaines,TX,3625,322,316,709,663,206,1,1,1
Galveston,TX,34267,7876,7395,14552,11807,8154128,2,1,1
Garza,TX,939,107,125,256,220,-2222,1,1,1
Gillespie,TX,3329,373,781,1308,941,273,1,1,1
Glasscock,TX,241,27,47,67,59,-2222,1,1,1
Goliad,TX,1320,168,194,388,307,754088,1,1,1
Gonzales,TX,4690,399,553,1012,835,10,1,1,1
Gray,TX,3552,474,522,1163,922,813950,1,1,1
Grayson,TX,15179,2977,3061,6216,4993,154636,1,1,1
Gregg,TX,15260,2993,2768,5981,4945,624853,2,1,1
Grimes,TX,5620,616,549,1366,1046,99385,1,1,1
Guadalupe,TX,14355,2230,2772,5404,4557,1749465,1,1,1
Hale,TX,7161,923,717,1777,1597,2040131,1,1,1
Hall,TX,925,92,115,191,149,-2222,1,1,1
Hamilton,TX,1450,179,185,442,339,-2222,1,1,1
Hansford,TX,977,95,101,264,218,-2222,1,1,1
Hardeman,TX,847,107,137,233,182,3130,1,1,1
Hardin,TX,6825,1606,1265,2700,2187,111748,1,1,1
Harris,TX,576580,105445,84282,185430,154931,55707549,2,2,1
Harrison,TX,8815,1734,1659,3339,2793,5804296,1,1,1
Hartley,TX,894,97,126,298,198,-2222,1,1,1
Haskell,TX,1103,123,179,307,236,-2222,1,1,1
Hays,TX,10738,2668,3316,6617,6709,241532,1,1,1
Hemphill,TX,445,66,120,179,146,-2222,1,1,1
Henderson,TX,14347,1874,2492,4330,3360,131804,1,1,1
Hidalgo,TX,178816,20096,24431,30994,29349,18017,1,1,1
Hill,TX,6534,916,1033,1879,1503,-2222,1,1,1
Hockley,TX,4343,501,718,1154,1030,0,1,1,1
Hood,TX,5490,1070,1256,2645,2014,-2222,2,1,1
Hopkins,TX,5845,796,975,1767,1387,0,1,1,1
Houston,TX,4862,544,661,1285,973,88327,1,1,1
Howard,TX,6351,742,838,1753,1405,235022,1,1,1
Hudspeth,TX,1041,97,143,161,144,-2222,1,1,1
Hunt,TX,12098,2118,1875,4348,3678,6996,1,1,1
Hutchinson,TX,2937,551,685,1167,950,2534037,1,1,1
Irion,TX,254,33,36,97,77,-2222,1,1,1
Jack,TX,1457,184,336,498,409,12542,1,1,1
Jackson,TX,2514,334,362,751,608,0,1,1,1
Jasper,TX,6314,1275,1095,1879,1482,1709523,1,1,1
"Jeff Davis",TX,406,45,52,130,104,-2222,1,1,1
Jefferson,TX,34262,8911,8197,13048,10735,26297287,2,1,1
"Jim Hogg",TX,1269,131,243,253,222,0,1,1,1
"Jim Wells",TX,8641,1101,1377,2056,1810,-2222,1,1,1
Johnson,TX,20823,3435,3447,7611,6362,674432,1,1,1
Jones,TX,4686,438,527,1109,949,52242,1,1,1
Karnes,TX,4175,351,423,862,723,49836,1,1,1
Kaufman,TX,14280,2190,1856,4627,3917,170468,1,1,1
Kendall,TX,2759,531,602,1537,1242,-2222,1,1,1
Kenedy,TX,109,8,15,21,17,-2222,1,1,1
Kent,TX,127,19,24,45,31,-2222,1,1,1
Kerr,TX,6059,833,1093,2575,1962,4,1,1,1
Kimble,TX,890,90,244,253,189,-2222,1,1,1
King,TX,42,7,12,16,14,-2222,1,1,1
Kinney,TX,759,85,63,182,139,-2222,1,1,1
Kleberg,TX,5576,868,805,1577,1506,1335,1,1,1
Knox,TX,809,89,116,197,161,-2222,1,1,1
Lamar,TX,7726,1424,1645,2615,2072,20739,1,1,1
Lamb,TX,3256,364,343,738,618,1561263,1,1,1
Lampasas,TX,2758,413,560,1049,844,2014,1,1,1
"La Salle",TX,1814,148,217,307,272,-2222,1,1,1
Lavaca,TX,4044,369,454,1030,786,15828,1,1,1
Lee,TX,2983,362,326,856,717,215533,1,1,1
Leon,TX,2936,409,559,897,691,1563287,1,1,1
Liberty,TX,14660,2148,1953,3922,3226,45640,1,1,1
Limestone,TX,4830,519,693,1212,990,4220136,1,1,1
Lipscomb,TX,514,59,106,162,129,-2222,1,1,1
"Live Oak",TX,2656,263,432,659,520,291581,1,1,1
Llano,TX,2337,355,547,1080,709,-2222,1,1,1
Loving,TX,7,4,1,4,2,-2222,1,1,1
Lubbock,TX,32092,5562,4956,13139,12201,239988,1,1,1
Lynn,TX,1438,176,116,314,272,-2222,1,1,1
McCulloch,TX,1554,192,264,421,329,93674,1,1,1
McLennan,TX,31130,5447,4944,11560,10646,592468,1,1,1
McMullen,TX,161,20,33,51,40,-2222,1,1,1
Madison,TX,2368,287,511,735,621,-2222,1,1,1
Marion,TX,2527,285,412,608,444,28713,1,1,1
Martin,TX,886,104,145,213,186,-2222,1,1,1
Mason,TX,615,65,114,220,159,-2222,1,1,1
Matagorda,TX,6980,1364,760,1927,1633,187299,1,1,1
Maverick,TX,16042,2566,1663,2350,2210,1,1,1,1
Medina,TX,7658,920,1284,2242,1864,0,1,1,1
Menard,TX,483,51,64,126,93,-2222,1,1,1
Midland,TX,15461,2507,3008,6152,5286,67670,1,1,1
Milam,TX,4809,606,672,1323,1056,3948400,1,1,1
Mills,TX,831,95,120,287,225,-2222,1,1,1
Mitchell,TX,1810,209,287,530,435,-2222,1,1,1
Montague,TX,3629,425,604,1070,815,-2222,1,1,1
Montgomery,TX,44144,8074,9705,19532,16217,2662329,2,1,1
Moore,TX,4365,422,419,962,858,1028776,1,1,1
Morris,TX,2310,370,428,699,543,122441,1,1,1
Motley,TX,245,28,40,71,50,-2222,1,1,1
Nacogdoches,TX,8920,1568,1281,3162,3157,301954,1,1,1
Navarro,TX,8635,1179,1361,2511,2127,231164,1,1,1
Newton,TX,3008,549,418,774,616,-2222,1,1,1
Nolan,TX,2831,373,463,768,633,2755,1,1,1
Nueces,TX,50577,8701,7197,16353,13872,6786744,1,1,1
Ochiltree,TX,1754,167,167,468,396,-2222,1,1,1
Oldham,TX,243,46,37,102,96,-2222,1,1,1
Orange,TX,11635,3302,1806,4476,3613,6806998,1,1,1
"Palo Pinto",TX,5257,647,834,1463,1153,2282,1,1,1
Panola,TX,3678,570,661,1229,974,52560,1,1,1
Parker,TX,13155,2270,2201,5485,4504,172856,2,1,1
Parmer,TX,2251,197,321,476,420,1829503,1,1,1
Pecos,TX,3571,361,466,833,770,-2222,1,1,1
Polk,TX,9737,1050,1483,2588,1975,221351,1,1,1
Potter,TX,21189,2617,2215,6013,5058,3702477,1,1,1
Presidio,TX,2493,358,131,376,333,-2222,1,1,1
Rains,TX,2159,240,367,635,482,-2222,1,1,1
Randall,TX,7350,2237,1711,5821,4937,542468,1,1,1
Reagan,TX,653,64,54,148,131,-2222,1,1,1
Real,TX,573,65,100,169,129,-2222,1,1,1
"Red River",TX,3222,394,473,745,565,-2222,1,1,1
Reeves,TX,3659,347,415,592,540,-2222,1,1,1
Refugio,TX,1627,195,233,411,325,-2222,1,1,1
Roberts,TX,58,18,17,46,36,-2222,1,1,1
Robertson,TX,3318,374,505,836,677,486020,1,1,1
Rockwall,TX,5280,1264,1048,3274,2764,400,1,1,1
Runnels,TX,2215,247,265,577,463,-2222,1,1,1
Rusk,TX,8355,1201,1356,2602,2049,4918723,1,1,1
Sabine,TX,2073,330,241,587,420,67084,1,1,1
"San Augustine",TX,1883,249,290,492,364,525,1,1,1
"San Jacinto",TX,4584,627,867,1349,1067,-2222,1,1,1
"San Patricio",TX,11825,2057,1722,3445,3012,2018698,1,1,1
"San Saba",TX,1143,118,176,315,281,-2222,1,1,1
Schleicher,TX,688,58,98,145,123,18720,1,1,1
Scurry,TX,2859,352,538,855,719,-2222,1,1,1
Shackelford,TX,447,60,111,173,136,1036,1,1,1
Shelby,TX,5325,682,770,1378,1108,463112,1,1,1
Sherman,TX,501,64,54,152,129,-2222,1,1,1
Smith,TX,24116,4638,4207,9922,8141,841309,2,1,1
Somervell,TX,1092,186,318,403,328,-2222,1,1,1
Starr,TX,20780,2764,1758,2727,2614,-2222,1,1,1
Stephens,TX,1747,199,247,515,416,-2222,1,1,1
Sterling,TX,251,29,34,70,59,-2222,1,1,1
Stonewall,TX,283,33,31,77,55,-2222,1,1,1
Sutton,TX,959,78,93,218,176,399,1,1,1
Swisher,TX,1447,183,207,403,349,-2222,1,1,1
Tarrant,TX,189116,43125,27384,82348,68096,1615457,2,1,1
Taylor,TX,14143,2750,2396,6422,5715,104926,1,1,1
Terrell,TX,203,29,18,56,43,-2222,1,1,1
Terry,TX,2898,339,353,639,539,0,1,1,1
Throckmorton,TX,258,35,54,91,69,-2222,1,1,1
Titus,TX,6085,705,710,1447,1238,8260248,1,1,1
"Tom Green",TX,15172,2281,1919,5398,4706,128914,1,1,1
Travis,TX,86101,22666,19733,46892,39327,127533,2,1,1
Trinity,TX,2703,351,434,795,592,-2222,1,1,1
Tyler,TX,3998,618,585,1141,880,0,1,1,1
Upshur,TX,5964,906,1114,2018,1599,42,1,1,1
Upton,TX,634,73,73,161,137,444,1,1,1
Uvalde,TX,6434,710,788,1329,1174,58,1,1,1
"Val Verde",TX,11650,1330,1051,2326,2004,0,1,1,1
"Van Zandt",TX,9917,1209,1511,2827,2198,-2222,1,1,1
Victoria,TX,12782,2043,2312,4361,3606,6820839,1,1,1
Walker,TX,10092,1335,1490,3527,3497,18022,1,1,1
Waller,TX,5209,901,632,1799,1746,12455,1,1,1
Ward,TX,1878,258,268,528,464,0,1,1,1
Washington,TX,5728,694,665,1669,1376,5732,1,1,1
Webb,TX,54443,5122,8788,9957,9550,8021,1,1,1
Wharton,TX,7804,1079,879,2128,1796,50768,1,1,1
Wheeler,TX,917,111,101,261,200,-2222,1,1,1
Wichita,TX,15505,3039,2924,6523,5737,862251,1,1,1
Wilbarger,TX,2422,299,336,711,598,345013,1,1,1
Willacy,TX,5894,734,430,994,925,-2222,1,1,1
Williamson,TX,23367,7100,6467,16938,14011,60998,1,1,1
Wilson,TX,6270,787,1034,1968,1656,232,1,1,1
Winkler,TX,1641,159,166,341,287,554,1,1,1
Wise,TX,8802,1220,1562,2997,2469,156361,1,1,1
Wood,TX,6756,888,1188,2280,1733,66551,1,1,1
Yoakum,TX,1779,162,138,369,327,-2222,1,1,1
Young,TX,3410,395,451,973,745,4819,1,1,1
Zapata,TX,3529,335,487,635,577,-2222,1,1,1
Zavala,TX,3758,455,400,571,535,-2222,1,1,1
Beaver,UT,605,136,179,431,223,511,1,1,1
"Box Elder",UT,3237,1003,629,3246,1755,10404720,1,1,1
Cache,UT,4713,1983,1233,6867,4213,272901,1,1,1
Carbon,UT,2255,507,496,1439,738,623380,1,1,1
Daggett,UT,108,27,31,77,34,-2222,1,1,1
Davis,UT,11747,5473,4576,18656,10178,431387,2,1,1
Duchesne,UT,1633,355,317,1058,578,0,1,1,1
Emery,UT,987,287,213,766,412,3794496,1,1,1
Garfield,UT,392,208,225,326,160,-2222,1,1,1
Grand,UT,1030,329,231,684,322,-2222,1,1,1
Iron,UT,2307,773,436,2704,1596,51260,1,1,1
Juab,UT,865,193,134,616,336,287,1,1,1
Kane,UT,551,163,104,475,231,-2222,1,1,1
Millard,UT,910,271,189,856,476,2108401,1,1,1
Morgan,UT,332,158,110,565,317,77021,1,1,1
Piute,UT,126,36,40,103,49,-2222,1,1,1
Rich,UT,104,42,71,149,80,-2222,1,1,1
"Salt Lake",UT,74965,22416,22069,68583,35169,127940203,2,1,1
"San Juan",UT,2285,417,392,950,550,0,1,1,1
Sanpete,UT,2030,576,431,1679,966,-2222,1,1,1
Sevier,UT,1591,430,413,1373,734,7,1,1,1
Summit,UT,1684,835,574,2654,1310,25,1,1,1
Tooele,UT,4212,1037,1224,3538,1892,30900151,1,1,1
Uintah,UT,3197,580,667,1933,1030,1554979,1,1,1
Utah,UT,20130,7987,7676,29744,17963,1634639,1,1,1
Wasatch,UT,1191,368,268,1345,704,-2222,1,1,1
Washington,UT,8928,1967,2514,8679,4456,25991,1,1,1
Wayne,UT,175,77,49,176,86,172,1,1,1
Weber,UT,18856,5293,4308,15163,7807,1135049,2,1,1
Addison,VT,3232,711,605,2294,3742,78,1,1,1
Bennington,VT,3959,734,702,2353,3251,879,1,1,1
Caledonia,VT,3589,640,742,1913,2866,40246,1,1,1
Chittenden,VT,9178,2764,2147,9329,14841,171182,1,1,1
Essex,VT,1163,125,176,420,594,39,1,1,1
Franklin,VT,5591,994,1032,2897,4175,39828,1,1,1
"Grand Isle",VT,870,211,170,494,688,-2222,1,1,1
Lamoille,VT,2172,574,785,1539,2282,-2222,1,1,1
Orange,VT,3219,525,908,1845,2672,-2222,1,1,1
Orleans,VT,4247,717,764,1754,2459,533,1,1,1
Rutland,VT,7029,1322,1370,4069,5769,27005,1,1,1
Washington,VT,4811,1237,1297,3776,5395,67000,1,1,1
Windham,VT,3981,858,983,2808,3844,79408,1,1,1
Windsor,VT,5026,963,1262,3735,4951,0,1,1,1
Accomack,VA,8621,851,1099,2249,1842,4500400,1,1,1
Albemarle,VA,7287,1082,1454,5105,4709,10074,1,1,1
Alleghany,VA,2680,347,433,972,742,260,1,1,1
Amelia,VA,2670,209,350,702,565,1,1,1,1
Amherst,VA,6401,619,572,1848,1559,291510,1,1,1
Appomattox,VA,2827,313,445,802,641,299,1,1,1
Arlington,VA,17860,3026,2097,11907,8650,1311,2,1,1
Augusta,VA,10634,1061,1524,4056,3251,602493,1,1,1
Bath,VA,960,103,185,300,223,-2222,1,1,1
Bedford,VA,9081,1064,1170,3787,3019,836298,1,1,1
Bland,VA,1494,126,234,424,325,49603,1,1,1
Botetourt,VA,4224,483,545,1874,1467,199007,1,1,1
Brunswick,VA,4614,372,540,1066,883,8,1,1,1
Buchanan,VA,8382,486,2623,1473,1147,1316230,1,1,1
Buckingham,VA,4207,311,553,950,778,149132,1,1,1
Campbell,VA,9636,1019,1098,2990,2383,2012620,1,1,1
Caroline,VA,4942,460,620,1451,1207,48657,2,1,1
Carroll,VA,7638,787,1021,1745,1319,136624,1,1,1
"Charles City",VA,1768,164,185,425,326,-2222,2,1,1
Charlotte,VA,3153,439,352,709,569,0,1,1,1
Chesterfield,VA,21952,4693,3812,15867,14027,7923040,1,1,1
Clarke,VA,1800,189,225,828,654,53,1,1,1
Craig,VA,852,93,197,298,231,-2222,1,1,1
Culpeper,VA,7454,562,840,2397,2028,4,1,1,1
Cumberland,VA,2343,171,280,536,429,104,1,1,1
Dickenson,VA,4699,362,1625,958,769,-2222,1,1,1
Dinwiddie,VA,5284,513,512,1462,1180,53298,1,1,1
Essex,VA,1955,243,250,608,480,-2222,1,1,1
Fairfax,VA,62325,14902,7002,55685,44914,21247,2,1,1
Fauquier,VA,6708,861,1137,3651,3073,15191,1,1,1
Floyd,VA,3134,247,352,858,660,8480,1,1,1
Fluvanna,VA,3424,341,424,1414,1122,1189832,1,1,1
Franklin,VA,9807,871,1135,2937,2350,4156,1,1,1
Frederick,VA,9868,974,1561,3880,3255,1802408,1,1,1
Giles,VA,2911,411,536,994,771,2972522,1,1,1
Gloucester,VA,4674,581,605,2151,1796,-2222,1,1,1
Goochland,VA,2937,294,401,1147,900,-2222,1,1,1
Grayson,VA,4322,365,605,975,722,1040,1,1,1
Greene,VA,2487,249,365,945,766,-2222,1,1,1
Greensville,VA,3108,247,470,677,520,286166,1,1,1
Halifax,VA,9133,965,1535,2080,1621,1838323,1,1,1
Hanover,VA,8645,1446,1531,5444,4605,854984,2,1,1
Henrico,VA,25333,5154,4143,15699,12674,1900708,2,1,1
Henry,VA,14069,1674,1564,3298,2558,1028572,1,1,1
Highland,VA,514,40,88,152,109,-2222,1,1,1
"Isle of Wight",VA,5433,597,606,1914,1576,6577702,1,1,1
"James City",VA,4322,808,901,3391,2755,561593,1,1,1
"King and Queen",VA,1522,126,259,396,312,-2222,1,1,1
"King George",VA,2588,292,392,1134,996,295643,1,1,1
"King William",VA,2070,260,297,824,667,2056058,1,1,1
Lancaster,VA,2236,276,252,709,515,-2222,1,1,1
Lee,VA,6508,455,1305,1376,1104,-2222,1,1,1
Loudoun,VA,12050,2773,3350,13500,11449,6869,2,1,1
Louisa,VA,5875,500,855,1730,1398,33385,1,1,1
Lunenburg,VA,3463,298,423,786,623,296488,1,1,1
Madison,VA,2333,210,353,775,616,0,1,1,1
Mathews,VA,1309,135,163,559,419,-2222,1,1,1
Mecklenburg,VA,7505,805,849,1906,1457,255793,1,1,1
Middlesex,VA,2081,162,262,642,475,0,1,1,1
Montgomery,VA,7523,1354,2650,4958,6176,2940483,1,1,1
Nelson,VA,3362,229,564,893,687,-2222,1,1,1
"New Kent",VA,2152,256,218,932,771,-2222,1,1,1
Northampton,VA,3037,294,449,777,625,-2222,1,1,1
Northumberland,VA,2343,267,384,789,573,21576,1,1,1
Nottoway,VA,3828,304,453,904,737,0,1,1,1
Orange,VA,5240,419,828,1765,1414,27492,1,1,1
Page,VA,5901,573,741,1384,1088,295,1,1,1
Patrick,VA,5287,569,681,1141,863,12,1,1,1
Pittsylvania,VA,14209,1984,1507,3586,2811,371642,1,1,1
Powhatan,VA,3848,365,469,1538,1280,-2222,1,1,1
"Prince Edward",VA,3470,433,408,1158,1292,997,1,1,1
"Prince George",VA,4265,629,594,2086,1997,39536,1,1,1
"Prince William",VA,23766,4766,6388,18226,16294,657182,2,1,1
Pulaski,VA,6550,803,1132,2089,1593,175114,1,1,1
Rappahannock,VA,1262,104,281,430,328,-2222,1,1,1
Richmond,VA,2723,174,280,565,432,1067,1,1,1
Roanoke,VA,8745,1344,1487,5119,4074,36822,1,1,1
Rockbridge,VA,4343,325,558,1253,1000,8799,1,1,1
Rockingham,VA,13153,1109,1407,4029,3378,285255,1,1,1
Russell,VA,7727,709,1385,1701,1323,3071414,1,1,1
Scott,VA,5958,511,752,1370,1040,5,1,1,1
Shenandoah,VA,6833,544,850,2278,1774,296927,1,1,1
Smyth,VA,7609,714,1184,1903,1452,357675,1,1,1
Southampton,VA,4422,322,404,1028,869,232850,1,1,1
Spotsylvania,VA,11956,1428,1567,6292,5543,336741,1,1,1
Stafford,VA,8285,1472,1419,6277,5724,0,2,1,1
Surry,VA,1420,170,191,403,332,0,1,1,1
Sussex,VA,3644,290,347,731,598,15,1,1,1
Tazewell,VA,10388,861,2328,2636,2055,20,1,1,1
Warren,VA,5781,538,599,1984,1654,137081,1,1,1
Washington,VA,10261,1150,1379,3084,2444,63075,1,1,1
Westmoreland,VA,3723,354,528,1006,797,6327,1,1,1
Wise,VA,10730,781,2129,2427,2036,342,1,1,1
Wythe,VA,6031,632,824,1660,1278,65172,1,1,1
York,VA,3348,886,897,3444,3011,2440605,1,1,1
"Alexandria City",VA,13281,2308,2201,8049,5557,1797498,2,1,1
"Bedford City",VA,1290,114,274,360,271,97322,1,1,1
"Bristol City",VA,3359,419,493,1028,831,206286,1,1,1
"Buena Vista City",VA,1308,114,117,366,325,-2222,1,1,1
"Charlottesville City",VA,4447,882,843,2449,2720,-2222,1,1,1
"Chesapeake City",VA,20645,3888,3507,11934,10590,3171602,1,1,1
"Colonial Heights City",VA,1976,369,478,1011,816,340,1,1,1
"Covington City",VA,1263,159,273,359,272,4347425,1,1,1
"Danville City",VA,10054,2108,1317,2638,2085,166656,1,1,1
"Emporia City",VA,1530,142,187,312,262,-2222,1,1,1
"Fairfax City",VA,1773,358,230,1285,990,7075,1,1,1
"Falls Church City",VA,309,216,190,624,488,0,1,1,1
"Franklin City",VA,1615,192,320,475,406,-2222,1,1,1
"Fredericksburg City",VA,2366,513,376,1156,1207,944,1,1,1
"Galax City",VA,1820,160,290,379,295,51987,1,1,1
"Hampton City",VA,13521,3227,1918,8151,7307,110083,1,1,1
"Harrisonburg City",VA,4102,732,914,2323,3278,1167,1,1,1
"Hopewell City",VA,4106,594,503,1226,1033,4258762,1,1,1
"Lexington City",VA,717,102,184,407,573,-2222,1,1,1
"Lynchburg City",VA,8906,1372,1231,3778,3753,1973690,1,1,1
"Manassas City",VA,4283,603,618,1952,1712,6,1,1,1
"Manassas Park City",VA,1643,161,164,590,514,-2222,1,1,1
"Martinsville City",VA,3330,599,895,864,661,-2222,1,1,1
"Newport News City",VA,17277,4120,2710,9437,8184,421627,1,1,1
"Norfolk City",VA,29003,5439,4070,12535,12613,939068,1,1,1
"Norton City",VA,862,86,138,215,173,-2222,1,1,1
"Petersburg City",VA,6713,1050,925,1792,1479,164043,1,1,1
"Poquoson City",VA,941,170,107,682,563,-2222,1,1,1
"Portsmouth City",VA,15581,2519,1742,5431,4804,618521,1,1,1
"Radford City",VA,998,292,354,873,1314,181464,1,1,1
"Richmond City",VA,31037,5195,2743,10895,9573,1115895,1,1,1
"Roanoke City",VA,15403,1918,3011,5240,4024,4764548,1,1,1
"Salem City",VA,2978,404,457,1444,1269,10,1,1,1
"Staunton City",VA,3982,391,531,1364,1090,-2222,1,1,1
"Suffolk City",VA,11782,1352,1807,4324,3744,8410,1,1,1
"Virginia Beach City",VA,26852,7681,5146,23838,20722,42280,1,1,1
"Waynesboro City",VA,3200,357,521,1196,947,0,1,1,1
"Williamsburg City",VA,528,358,124,686,994,-2222,1,1,1
"Winchester City",VA,4136,428,481,1426,1192,218507,1,1,1
Adams,WA,3475,581,488,896,1094,4906,1,1,1
Asotin,WA,2035,639,588,1288,1373,12,1,1,1
Benton,WA,14956,4918,3444,9173,10414,2581386,1,1,1
Chelan,WA,9420,2368,2747,4110,4586,458840,1,1,1
Clallam,WA,7236,1824,2040,4436,4601,90703,1,1,1
Clark,WA,31873,12617,10515,23587,26207,701312,1,1,1
Columbia,WA,509,127,149,261,271,-2222,1,1,1
Cowlitz,WA,10857,3161,2717,5811,6361,2633920,1,1,1
Douglas,WA,4798,1097,1177,2043,2326,25,1,1,1
Ferry,WA,879,277,297,465,518,54400,1,1,1
Franklin,WA,12901,1984,1504,3377,4190,81845,1,1,1
Garfield,WA,262,60,61,149,155,-2222,1,1,1
Grant,WA,13402,2829,2155,4490,5340,32256,1,1,1
"Grays Harbor",WA,9077,2365,2500,4327,4692,1095185,1,1,1
Island,WA,4274,1840,1654,4837,5171,0,1,1,1
Jefferson,WA,1808,718,983,1879,1859,493436,1,1,1
King,WA,121177,48959,37683,110784,115235,1258844,2,1,1
Kitsap,WA,14563,6397,6539,14378,15942,277404,1,1,1
Kittitas,WA,2710,1078,870,2317,3144,-2222,1,1,1
Klickitat,WA,2449,741,594,1199,1291,100,1,1,1
Lewis,WA,9432,2346,2212,4370,4795,4597278,1,1,1
Lincoln,WA,981,284,434,649,682,0,1,1,1
Mason,WA,6133,1521,1812,3386,3625,22651,1,1,1
Okanogan,WA,6119,1511,1209,2380,2642,-2222,1,1,1
Pacific,WA,3286,631,700,1379,1420,-2222,1,1,1
"Pend Oreille",WA,1662,405,723,786,848,14802471,1,1,1
Pierce,WA,63425,22124,24223,44316,50011,1512527,1,1,1
"San Juan",WA,655,341,429,1012,985,-2222,1,1,1
Skagit,WA,11983,3290,3372,6822,7556,939884,1,1,1
Skamania,WA,1014,383,291,651,708,-2222,1,1,1
Snohomish,WA,46474,17700,17341,38715,42510,744825,1,1,1
Spokane,WA,31210,12879,10905,26447,29936,324881,1,1,1
Stevens,WA,4046,1401,1181,2531,2829,1095,1,1,1
Thurston,WA,16127,6135,6830,13980,15376,778416,1,1,1
Wahkiakum,WA,437,120,107,245,253,-2222,1,1,1
"Walla Walla",WA,6856,1658,1809,3470,4119,1407321,1,1,1
Whatcom,WA,14563,5062,5583,11215,13315,900160,1,1,1
Whitman,WA,1433,871,888,2546,3924,1,1,1,1
Yakima,WA,42868,9033,4776,12735,15067,307739,1,1,1
Barbour,WV,2971,394,957,1176,689,-2222,1,1,1
Berkeley,WV,14015,1554,4118,6733,3992,544137,1,1,1
Boone,WV,6540,430,1857,1900,1033,284342,1,1,1
Braxton,WV,3468,348,788,1124,624,53367,1,1,1
Brooke,WV,3546,791,1345,1875,1051,1696988,1,1,1
Cabell,WV,12721,1994,5647,7058,4282,261754,2,1,1
Calhoun,WV,1999,231,536,568,315,-2222,1,1,1
Clay,WV,2574,270,630,752,433,-2222,1,1,1
Doddridge,WV,1581,138,508,560,333,0,1,1,1
Fayette,WV,10240,1028,3797,3523,2006,665602,1,1,1
Gilmer,WV,1351,135,329,540,370,-2222,1,1,1
Grant,WV,2462,305,618,877,462,2733624,1,1,1
Greenbrier,WV,6669,902,2226,2654,1447,947,1,1,1
Hampshire,WV,4364,372,1129,1615,925,4903,1,1,1
Hancock,WV,3919,1074,1696,2389,1246,646572,1,1,1
Hardy,WV,2778,261,615,986,548,1013517,1,1,1
Harrison,WV,10263,1428,3541,5075,2872,6791603,1,1,1
Jackson,WV,4477,681,1508,2112,1195,440691,1,1,1
Jefferson,WV,6939,727,1947,3579,2121,43728,1,1,1
Kanawha,WV,27639,4465,11198,14530,7813,8041486,1,1,1
Lewis,WV,3230,357,1156,1295,709,88917,1,1,1
Lincoln,WV,5833,506,1890,1659,932,-2222,1,1,1
Logan,WV,9531,645,3490,2722,1483,-2222,1,1,1
McDowell,WV,8613,558,2333,1822,1008,6,1,1,1
Marion,WV,8054,1138,3251,4281,2499,2282248,1,1,1
Marshall,WV,4955,858,1640,2586,1431,14843734,1,1,1
Mason,WV,5063,786,1802,1931,1054,14857322,1,1,1
Mercer,WV,12224,1195,4140,4640,2537,43830,1,1,1
Mineral,WV,3736,691,1047,1991,1112,2621,1,1,1
